unit,na_item,sector,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
PC_GDP,D5REC,S13,AT	12.6 	12.7 	12.8 	13.1 	13.4 	13.7 	14.2 	12.8 	13.0 	13.6 	13.7 	12.9 
PC_GDP,D5REC,S13,BE	15.1 	15.4 	15.9 	16.2 	16.7 	16.7 	16.3 	16.0 	16.6 	16.8 	15.7 	15.9 
PC_GDP,D5REC,S13,BG	5.2 	4.9 	4.6 	4.7 	5.1 	5.4 	5.4 	5.6 	5.8 	5.8 	5.8 	6.0 
PC_GDP,D5REC,S13,CH	14.1 	13.7 	13.8 	13.7 	13.9 	13.8 	14.5 	14.6 	15.2 	15.0 	15.4 	: 
PC_GDP,D5REC,S13,CY	9.6 	9.4 	10.1 	9.9 	10.4 	10.4 	9.9 	9.3 	9.6 	9.6 	9.7 	10.0 
PC_GDP,D5REC,S13,CZ	7.5 	7.2 	7.4 	7.4 	7.6 	7.7 	7.7 	8.0 	8.1 	8.5 	8.5 	8.1 
PC_GDP,D5REC,S13,DE	11.5 	11.0 	11.4 	11.9 	12.1 	12.1 	12.3 	12.7 	12.9 	13.2 	13.3 	12.8 p
PC_GDP,D5REC,S13,DK	28.3 	28.5 	28.4 	29.2 	30.2 	33.2 	30.6 	29.6 	29.8 	28.4 	30.8 	30.9 
PC_GDP,D5REC,S13,EA19	11.5 	11.5 	11.7 	12.3 	12.5 	12.5 	12.5 	12.6 	12.8 	13.0 	12.9 	13.0 
PC_GDP,D5REC,S13,EE	7.4 	6.5 	6.2 	6.6 	7.1 	7.3 	7.7 	7.4 	7.2 	7.4 	7.3 	7.7 
PC_GDP,D5REC,S13,EL	8.5 	8.3 	9.4 	11.0 	10.5 	9.8 	9.5 	10.2 	10.0 	10.3 	9.7 	9.2 
PC_GDP,D5REC,S13,ES	9.1 	9.1 	9.2 	10.0 	10.0 	10.1 	9.9 	9.9 	10.1 	10.6 	10.4 	11.2 
PC_GDP,D5REC,S13,EU27_2020	11.8 	11.7 	11.9 	12.4 	12.7 	12.7 	12.7 	12.7 	12.9 	13.0 	13.0 	13.1 
PC_GDP,D5REC,S13,FI	15.4 	15.4 	15.8 	15.5 	16.1 	16.3 	16.5 	16.4 	16.4 	16.0 	16.0 	15.9 
PC_GDP,D5REC,S13,FR	10.7 	11.2 	11.7 	12.4 	12.9 	12.7 	12.7 	12.5 	12.8 	13.2 	13.1 p	13.3 p
PC_GDP,D5REC,S13,HR	7.3 	6.6 	6.3 	6.3 	6.6 	6.3 	6.1 	6.5 	6.3 	6.4 	6.6 	6.7 
PC_GDP,D5REC,S13,HU	9.6 	7.8 	6.2 	6.7 	6.5 	6.7 	6.8 	7.2 	7.1 	6.6 	6.6 	6.8 
PC_GDP,D5REC,S13,IE	11.8 	11.7 	12.2 	12.7 	12.8 	12.8 	10.6 	10.7 	10.2 	10.5 	10.3 	10.3 
PC_GDP,D5REC,S13,IS	15.4 	15.2 	16.1 	16.5 	17.1 	18.4 	17.1 	17.6 	18.8 	18.5 	17.9 	18.8 
PC_GDP,D5REC,S13,IT	14.1 	14.1 	13.8 	14.8 	14.9 	14.6 	14.7 	14.6 	14.4 	14.0 	14.4 	15.3 
PC_GDP,D5REC,S13,LT	5.9 	4.6 	4.3 	4.8 	5.0 	5.0 	5.4 	5.6 	5.4 	5.7 	8.9 	8.9 
PC_GDP,D5REC,S13,LU	14.2 	14.3 	13.9 	14.2 	14.2 	13.6 	14.3 	14.6 	15.0 	16.9 	16.5 	15.7 
PC_GDP,D5REC,S13,LV	7.0 	7.4 	7.3 	7.6 	7.7 	7.8 	7.8 	8.3 	8.5 	7.4 	7.0 	7.2 
PC_GDP,D5REC,S13,MT	12.7 	11.9 	12.3 	12.7 	13.1 	13.2 	12.4 	13.1 	13.4 	13.1 	13.4 	13.2 
PC_GDP,D5REC,S13,NL	10.8 	11.0 	10.5 	10.0 	9.9 	10.5 	11.3 	11.5 	12.7 	12.5 	13.2 	13.2 p
PC_GDP,D5REC,S13,NO	19.9 	20.7 	21.4 	21.0 	19.1 	17.5 	16.2 	15.8 	16.1 	17.4 	17.3 	14.4 
PC_GDP,D5REC,S13,PL	7.2 	6.7 	6.7 	7.0 	6.8 	6.8 	6.9 	7.1 	7.3 	7.8 	7.9 	8.0 
PC_GDP,D5REC,S13,PT	8.6 	8.4 	9.4 	8.9 	11.3 	10.9 	10.7 	10.1 	9.9 	10.1 	9.7 	9.9 
PC_GDP,D5REC,S13,RO	5.9 	5.8 	6.1 	5.8 	5.9 	6.2 	6.6 	6.4 	6.1 	4.9 	4.8 	4.7 
PC_GDP,D5REC,S13,SE	18.4 	18.1 	17.5 	17.4 	17.7 	17.8 	18.3 	18.9 	19.0 	18.6 	18.2 	18.2 
PC_GDP,D5REC,S13,SI	8.1 	8.0 	7.8 	7.5 	7.0 	7.2 	7.2 	7.5 	7.5 	7.9 	7.8 	7.4 
PC_GDP,D5REC,S13,SK	5.7 	5.5 	5.6 	5.6 	6.2 	6.7 	7.1 	7.2 	7.2 	7.3 	7.2 	6.8 
PC_GDP,D5REC,S1311,AT	12.2 	12.3 	12.4 	12.7 	13.1 	13.4 	13.8 	12.5 	12.7 	12.9 	13.0 	12.2 
PC_GDP,D5REC,S1311,BE	13.3 	13.8 	14.3 	14.7 	15.2 	15.3 	13.8 	12.2 	12.9 	13.3 	12.1 	12.0 
PC_GDP,D5REC,S1311,BG	5.2 	4.8 	4.5 	4.5 	5.0 	5.2 	5.2 	5.4 	5.6 	5.6 	5.6 	5.8 
PC_GDP,D5REC,S1311,CH	3.9 	3.8 	3.8 	3.7 	3.8 	3.7 	4.2 	4.1 	4.7 	4.5 	4.8 	: 
PC_GDP,D5REC,S1311,CY	9.6 	9.4 	10.1 	9.9 	10.4 	10.4 	9.9 	9.3 	9.6 	9.6 	9.7 	10.0 
PC_GDP,D5REC,S1311,CZ	5.0 	4.9 	5.0 	5.0 	5.0 	5.1 	5.0 	5.2 	5.4 	5.6 	5.7 	5.4 
PC_GDP,D5REC,S1311,DE	4.6 	4.5 	4.6 	4.9 	5.0 	5.0 	5.0 	5.2 	5.3 	5.5 	5.5 	5.4 p
PC_GDP,D5REC,S1311,DK	18.1 	17.9 	17.8 	18.4 	19.4 	22.3 	19.7 	18.8 	19.0 	17.7 	20.2 	19.6 
PC_GDP,D5REC,S1311,EA19	7.6 	7.7 	7.7 	8.0 	8.3 	8.2 	8.2 	8.0 	8.2 	8.2 	8.3 	8.3 
PC_GDP,D5REC,S1311,EE	7.4 	6.5 	6.2 	6.6 	7.1 	7.3 	7.7 	7.4 	7.2 	7.4 	7.3 	7.7 
PC_GDP,D5REC,S1311,EL	8.1 	7.9 	8.9 	10.4 	10.0 	9.3 	9.0 	9.6 	9.4 	9.7 	9.1 	8.5 
PC_GDP,D5REC,S1311,ES	5.2 	5.7 	5.3 	4.7 	5.8 	6.1 	5.8 	5.6 	5.6 	6.1 	5.7 	5.6 
PC_GDP,D5REC,S1311,EU27_2020	7.5 	7.6 	7.6 	7.8 	8.1 	8.1 	8.1 	8.0 	8.1 	8.0 	8.2 	8.1 
PC_GDP,D5REC,S1311,FI	5.8 	5.5 	6.1 	5.9 	6.0 	6.1 	6.1 	6.3 	6.4 	6.4 	6.3 	5.6 
PC_GDP,D5REC,S1311,FR	5.2 	5.7 	6.1 	6.6 	7.0 	6.9 	6.7 	6.6 	6.8 	6.5 	6.8 p	6.8 p
PC_GDP,D5REC,S1311,HR	3.7 	3.3 	3.1 	2.7 	2.8 	2.5 	2.9 	3.2 	3.2 	3.2 	3.3 	3.3 
PC_GDP,D5REC,S1311,HU	9.4 	7.6 	6.0 	6.6 	6.4 	6.6 	6.7 	7.1 	7.0 	6.5 	6.5 	6.7 
PC_GDP,D5REC,S1311,IE	11.8 	11.7 	12.2 	12.7 	12.8 	12.8 	10.6 	10.7 	10.2 	10.5 	10.3 	10.3 
PC_GDP,D5REC,S1311,IS	8.8 	8.8 	9.0 	9.2 	9.6 	10.9 	9.7 	10.1 	10.9 	10.4 	10.0 	10.1 
PC_GDP,D5REC,S1311,IT	13.1 	13.1 	12.7 	13.5 	13.7 	13.2 	13.3 	13.3 	13.1 	12.7 	13.1 	13.9 
PC_GDP,D5REC,S1311,LT	5.9 	4.6 	4.3 	4.8 	4.9 	5.0 	5.4 	5.6 	5.4 	5.6 	8.8 	8.8 
PC_GDP,D5REC,S1311,LU	12.6 	12.7 	12.3 	12.8 	13.0 	12.5 	13.1 	13.3 	13.6 	15.2 	14.8 	14.2 
PC_GDP,D5REC,S1311,LV	2.6 	2.4 	2.6 	2.9 	3.0 	2.9 	3.0 	3.3 	3.3 	2.4 	1.7 	2.2 
PC_GDP,D5REC,S1311,MT	12.7 	11.9 	12.3 	12.7 	13.1 	13.2 	12.4 	13.1 	13.4 	13.1 	13.4 	13.2 
PC_GDP,D5REC,S1311,NL	10.3 	10.4 	9.9 	9.4 	9.4 	9.9 	10.7 	10.9 	12.1 	11.9 	12.7 	12.6 p
PC_GDP,D5REC,S1311,NO	14.5 	15.3 	16.6 	16.2 	14.2 	12.4 	10.7 	9.9 	10.5 	11.8 	11.6 	8.4 
PC_GDP,D5REC,S1311,PL	4.3 	4.0 	4.0 	4.2 	3.9 	3.9 	4.0 	4.1 	4.2 	4.5 	4.6 	4.7 
PC_GDP,D5REC,S1311,PT	7.9 	7.7 	8.7 	8.2 	10.4 	10.1 	9.9 	9.3 	9.2 	9.3 	9.0 	9.1 
PC_GDP,D5REC,S1311,RO	5.7 	5.4 	5.7 	5.5 	5.6 	5.8 	6.2 	6.1 	5.7 	4.6 	4.5 	4.4 
PC_GDP,D5REC,S1311,SE	4.8 	5.4 	5.0 	4.5 	4.6 	5.0 	5.7 	5.8 	5.9 	5.6 	5.6 	5.1 
