unit,na_item,sector,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
PC_GDP,D2REC,S1312,AT	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.2 	0.1 	0.1 	0.1 
PC_GDP,D2REC,S1312,BE	1.4 	1.5 	1.6 	1.6 	1.7 	1.7 	1.7 	1.8 	1.9 	1.8 	1.9 	1.9 
PC_GDP,D2REC,S1312,BG	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,CH	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	: 
PC_GDP,D2REC,S1312,CY	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,CZ	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,DE	3.7 	3.6 	3.6 	3.7 	3.7 	3.7 	3.8 	4.0 	3.9 	4.0 	4.1 	4.3 p
PC_GDP,D2REC,S1312,DK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,EA19	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.3 	1.4 	1.3 	1.4 	1.4 	1.4 
PC_GDP,D2REC,S1312,EE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,EL	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,ES	1.3 	1.3 	1.1 	1.1 	1.2 	1.2 	1.2 	1.3 	1.3 	1.4 	1.3 	1.1 
PC_GDP,D2REC,S1312,EU27_2020	1.0 	1.0 	1.0 	1.0 	1.1 	1.1 	1.1 	1.2 	1.2 	1.2 	1.2 	1.2 
PC_GDP,D2REC,S1312,FI	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,FR	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,HR	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,HU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,IE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,IS	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,IT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,LT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,LU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,LV	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,MT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,NL	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,NO	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,PL	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,PT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,RO	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,SE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,SI	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1312,SK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1313,AT	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 
PC_GDP,D2REC,S1313,BE	1.3 	1.3 	1.3 	1.3 	1.3 	1.4 	1.4 	1.3 	1.3 	1.2 	1.3 	1.3 
PC_GDP,D2REC,S1313,BG	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	0.4 	0.4 	0.4 
PC_GDP,D2REC,S1313,CH	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	: 
PC_GDP,D2REC,S1313,CY	0.5 	0.5 	0.5 	0.4 	0.6 	0.5 	0.5 	0.3 	0.4 	0.4 	0.4 	0.4 
PC_GDP,D2REC,S1313,CZ	2.2 	2.3 	2.3 	2.3 	2.5 	2.5 	2.4 	2.6 	2.6 	2.7 	2.8 	2.7 
PC_GDP,D2REC,S1313,DE	0.5 	0.5 	0.5 	0.5 	0.6 	0.5 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 p
PC_GDP,D2REC,S1313,DK	1.3 	1.3 	1.4 	1.3 	1.4 	1.4 	1.4 	1.3 	1.3 	1.3 	1.3 	1.4 
PC_GDP,D2REC,S1313,EA19	2.1 	1.8 	2.1 	2.2 	2.2 	2.2 	2.2 	2.1 	2.1 	2.1 	2.1 	2.1 
PC_GDP,D2REC,S1313,EE	0.4 	0.5 	0.5 	0.4 	0.4 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 
PC_GDP,D2REC,S1313,EL	0.2 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 
PC_GDP,D2REC,S1313,ES	1.8 	1.9 	1.9 	2.1 	2.2 	2.3 	2.2 	2.2 	2.2 	2.2 	2.2 	2.2 
PC_GDP,D2REC,S1313,EU27_2020	1.9 	1.7 	1.9 	2.0 	2.0 	2.0 	2.0 	1.9 	1.9 	2.0 	2.0 	1.9 
PC_GDP,D2REC,S1313,FI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1313,FR	4.4 	3.4 	4.5 	4.7 	4.7 	4.7 	4.8 	5.0 	5.0 	5.2 	5.2 p	5.4 p
PC_GDP,D2REC,S1313,HR	1.1 	1.0 	1.0 	1.0 	1.1 	1.1 	1.1 	1.1 	1.1 	1.2 	1.2 	1.1 
PC_GDP,D2REC,S1313,HU	2.4 	2.2 	2.2 	2.2 	2.1 	2.0 	2.1 	2.1 	2.0 	2.0 	2.0 	1.9 
PC_GDP,D2REC,S1313,IE	0.8 	0.8 	0.8 	0.8 	0.8 	0.7 	0.5 	0.5 	0.5 	0.4 	0.4 	0.2 
PC_GDP,D2REC,S1313,IS	1.9 	1.9 	1.7 	1.6 	1.6 	1.6 	1.6 	1.8 	1.9 	1.9 	2.0 	2.1 
PC_GDP,D2REC,S1313,IT	3.5 	3.4 	3.5 	3.8 	3.6 	3.7 	3.5 	2.8 	2.9 	2.9 	2.9 	2.8 
PC_GDP,D2REC,S1313,LT	0.4 	0.5 	0.4 	0.4 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 
PC_GDP,D2REC,S1313,LU	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
PC_GDP,D2REC,S1313,LV	0.6 	0.8 	0.7 	0.7 	0.7 	0.8 	0.8 	0.8 	0.8 	0.7 	0.7 	0.7 
PC_GDP,D2REC,S1313,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1313,NL	0.7 	0.7 	0.7 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 p
PC_GDP,D2REC,S1313,NO	0.3 	0.3 	0.3 	0.3 	0.3 	0.4 	0.4 	0.4 	0.5 	0.4 	0.5 	0.5 
PC_GDP,D2REC,S1313,PL	1.3 	1.3 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.2 	1.1 	1.1 	1.1 
PC_GDP,D2REC,S1313,PT	1.4 	1.3 	1.4 	1.4 	1.5 	1.6 	1.7 	1.7 	1.7 	1.8 	1.7 	1.7 
PC_GDP,D2REC,S1313,RO	0.6 	0.7 	0.7 	0.7 	0.6 	0.6 	0.6 	0.6 	0.5 	0.5 	0.5 	0.5 
PC_GDP,D2REC,S1313,SE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1313,SI	0.7 	0.7 	0.7 	0.8 	0.7 	0.7 	0.8 	0.7 	0.8 	0.7 	0.7 	0.7 
PC_GDP,D2REC,S1313,SK	0.6 	0.5 	0.5 	0.5 	0.6 	0.7 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 
PC_GDP,D2REC,S1314,AT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1314,BE	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 
PC_GDP,D2REC,S1314,BG	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1314,CH	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
PC_GDP,D2REC,S1314,CY	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1314,CZ	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n	0.0 n
PC_GDP,D2REC,S1314,DE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1314,DK	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1314,EA19	0.5 	0.5 	0.5 	0.6 	0.6 	0.6 	0.6 	0.6 	0.5 	0.5 	0.8 	0.9 
PC_GDP,D2REC,S1314,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1314,EL	0.8 	0.2 	0.3 	0.2 	0.2 	0.2 	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 
PC_GDP,D2REC,S1314,ES	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1314,EU27_2020	0.5 	0.4 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.7 	0.8 
PC_GDP,D2REC,S1314,FI	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1314,FR	2.3 	2.2 	2.4 	2.6 	2.7 	2.8 	2.6 	2.6 	2.5 	2.4 	3.9 p	4.3 p
PC_GDP,D2REC,S1314,HR	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1314,HU	0.2 	0.1 	0.2 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 
PC_GDP,D2REC,S1314,IE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1314,IS	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1314,IT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1314,LT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1314,LU	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1314,LV	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1314,MT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1314,NL	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1314,NO	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1314,PL	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1314,PT	0.5 	0.5 	0.5 	0.6 	0.7 	0.7 	0.7 	0.5 	0.5 	0.5 	0.5 	0.5 
PC_GDP,D2REC,S1314,RO	0.0 	0.0 	0.0 	0.3 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.4 	0.3 
PC_GDP,D2REC,S1314,SE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,D2REC,S1314,SI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S1314,SK	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
PC_GDP,D2REC,S212,BE	0.3 	0.4 	0.3 	0.3 	0.3 	0.3 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 
PC_GDP,D2REC,S212,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 	: 
PC_GDP,D2REC,S212,CZ	0.1 	0.2 	0.2 	0.2 	0.1 	0.2 	0.2 	0.2 	0.2 	0.2 	0.1 	0.1 
PC_GDP,D2REC,S212,EE	0.1 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 
PC_GDP,D2REC,S212,FI	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.2 	0.2 
PC_GDP,D2REC,S212,HU	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 
PC_GDP,D2REC,S212,IT	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.3 	0.2 	0.3 	0.2 	0.2 	0.2 
PC_GDP,D2REC,S212,LT	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 
PC_GDP,D2REC,S212,LV	0.1 	0.1 	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 
PC_GDP,D2REC,S212,NL	0.3 	0.3 	0.3 	0.3 	0.3 	0.4 	0.5 	0.4 	0.4 	0.4 	0.4 	0.4 p
PC_GDP,D2REC,S212,PT	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 	0.2 	0.2 
PC_GDP,D2REC,S212,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1 	: 
PC_GDP,D2REC,S212,SE	0.2 	0.2 	0.2 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
PC_GDP,D2REC,S212,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1 	: 
