unit,na_item,sector,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
PC_GDP,D2REC,S13,AT	14.3 	14.3 	14.3 	14.6 	14.5 	14.3 	14.3 	14.3 	14.1 	13.8 	13.9 	13.7 
PC_GDP,D2REC,S13,BE	13.0 	13.2 	13.3 	13.7 	13.6 	13.5 	13.2 	13.5 	13.4 	13.5 	13.5 	13.4 
PC_GDP,D2REC,S13,BG	14.2 	14.2 	13.7 	14.8 	15.5 	14.8 	15.5 	15.4 	15.0 	15.0 	15.4 	15.5 
PC_GDP,D2REC,S13,CH	5.7 	5.8 	5.8 	5.7 	5.7 	5.6 	5.6 	5.5 	5.6 	5.4 	5.3 	: 
PC_GDP,D2REC,S13,CY	14.1 	14.2 	13.6 	13.9 	13.7 	14.9 	14.7 	14.6 	14.8 	15.1 	14.9 	13.7 
PC_GDP,D2REC,S13,CZ	10.7 	11.1 	11.8 	12.3 	12.6 	11.8 	12.1 	12.2 	12.3 	12.0 	12.0 	11.5 
PC_GDP,D2REC,S13,DE	11.3 	10.9 	11.0 	11.0 	10.9 	10.7 	10.8 	10.7 	10.6 	10.6 	10.7 	10.4 p
PC_GDP,D2REC,S13,DK	16.3 	16.2 	16.3 	16.3 	16.4 	16.2 	16.3 	16.2 	15.9 	16.0 	15.6 	16.0 
PC_GDP,D2REC,S13,EA19	12.2 	12.4 	12.6 	12.9 	13.0 	13.1 	13.0 	13.0 	13.0 	13.0 	13.1 	12.8 
PC_GDP,D2REC,S13,EE	14.5 	13.6 	13.3 	13.7 	13.3 	13.6 	14.1 	14.5 	14.0 	13.8 	14.0 	13.4 
PC_GDP,D2REC,S13,EL	11.7 	12.7 	13.8 	14.1 	14.5 	15.8 	16.2 	17.4 	17.3 	17.4 	17.3 	16.4 
PC_GDP,D2REC,S13,ES	8.1 	9.9 	9.6 	10.2 	11.1 	11.5 	11.7 	11.6 	11.6 	11.7 	11.5 	11.2 
PC_GDP,D2REC,S13,EU27_2020	12.7 	12.9 	13.1 	13.4 	13.5 	13.5 	13.5 	13.4 	13.4 	13.5 	13.5 	13.3 
PC_GDP,D2REC,S13,FI	12.9 	12.9 	13.7 	14.0 	14.3 	14.3 	14.0 	14.3 	13.9 	14.1 	14.0 	13.8 
PC_GDP,D2REC,S13,FR	14.9 	14.7 	15.1 	15.3 	15.5 	15.7 	15.8 	15.9 	16.2 	16.4 	16.7 p	17.0 p
PC_GDP,D2REC,S13,HR	17.0 	17.5 	17.1 	18.1 	18.6 	18.5 	19.1 	19.3 	19.5 	19.9 	20.2 	19.0 
PC_GDP,D2REC,S13,HU	16.3 	17.2 	17.2 	18.6 	18.6 	18.5 	18.6 	18.0 	17.9 	18.1 	17.9 	18.2 
PC_GDP,D2REC,S13,IE	10.8 	10.8 	10.4 	10.5 	10.8 	10.9 	8.6 	8.7 	8.2 	7.9 	7.7 	6.6 
PC_GDP,D2REC,S13,IS	12.9 	13.1 	13.2 	13.8 	13.5 	15.1 	14.5 	13.8 	14.7 	14.3 	13.6 	13.8 
PC_GDP,D2REC,S13,IT	13.4 	13.8 	14.0 	15.1 	14.8 	15.2 	14.9 	14.3 	14.3 	14.4 	14.4 	13.9 
PC_GDP,D2REC,S13,LT	11.6 	11.8 	11.6 	11.1 	11.0 	11.2 	11.6 	11.7 	11.6 	11.5 	11.5 	11.7 
PC_GDP,D2REC,S13,LU	12.5 	12.4 	12.3 	12.9 	12.9 	13.2 	11.0 	11.0 	11.3 	11.5 	11.3 	11.0 
PC_GDP,D2REC,S13,LV	11.2 	12.2 	12.1 	12.5 	12.9 	13.3 	13.5 	14.0 	13.9 	14.3 	14.1 	14.2 
PC_GDP,D2REC,S13,MT	13.1 	13.2 	13.3 	12.8 	12.4 	12.7 	11.8 	11.9 	12.0 	12.5 	11.9 	10.7 
PC_GDP,D2REC,S13,NL	11.1 	11.0 	10.8 	10.6 	10.9 	11.3 	11.1 	11.5 	11.5 	11.7 	12.0 	12.2 p
PC_GDP,D2REC,S13,NO	11.7 	11.8 	11.4 	11.2 	11.3 	11.4 	12.0 	12.6 	12.5 	12.1 	12.3 	13.0 
PC_GDP,D2REC,S13,PL	13.0 	13.7 	13.8 	13.0 	12.9 	12.9 	12.9 	13.4 	13.8 	14.0 	13.8 	14.0 
PC_GDP,D2REC,S13,PT	12.5 	13.2 	13.8 	13.8 	13.7 	14.2 	14.6 	14.7 	14.9 	15.1 	15.0 	14.4 
PC_GDP,D2REC,S13,RO	10.2 	11.9 	13.1 	13.2 	12.7 	12.7 	13.3 	11.3 	10.3 	10.4 	10.6 	10.4 
PC_GDP,D2REC,S13,SE	22.4 	22.0 	21.6 	21.9 	21.8 	21.5 	21.5 	22.4 	22.3 	22.3 	22.0 	21.7 
PC_GDP,D2REC,S13,SI	13.5 	14.0 	14.0 	14.4 	14.9 	14.8 	14.7 	14.6 	14.2 	14.0 	13.7 	12.9 
PC_GDP,D2REC,S13,SK	10.5 	10.3 	11.2 	10.6 	11.2 	11.5 	11.6 	11.5 	11.9 	11.8 	12.0 	12.2 
PC_GDP,D2REC,S1311,AT	13.0 	12.9 	13.0 	13.2 	13.1 	13.0 	13.0 	12.9 	12.8 	12.5 	12.5 	12.4 
PC_GDP,D2REC,S1311,BE	9.9 	10.0 	10.0 	10.4 	10.2 	10.0 	9.8 	9.9 	9.9 	10.0 	9.8 	9.7 
PC_GDP,D2REC,S1311,BG	13.8 	13.8 	13.3 	14.4 	15.0 	14.4 	15.1 	14.9 	14.6 	14.6 	15.0 	15.1 
PC_GDP,D2REC,S1311,CH	5.4 	5.5 	5.5 	5.4 	5.4 	5.3 	5.3 	5.2 	5.3 	5.1 	5.0 	: 
PC_GDP,D2REC,S1311,CY	13.7 	13.7 	13.1 	13.5 	13.2 	14.4 	14.3 	14.3 	14.5 	14.7 	14.5 	13.3 
PC_GDP,D2REC,S1311,CZ	8.5 	8.8 	9.5 	9.9 	10.1 	9.4 	9.7 	9.7 	9.6 	9.2 	9.2 	8.8 
PC_GDP,D2REC,S1311,DE	7.0 	6.7 	6.8 	6.8 	6.6 	6.5 	6.4 	6.1 	6.1 	6.0 	6.0 	5.4 p
PC_GDP,D2REC,S1311,DK	15.0 	14.9 	14.9 	15.0 	15.1 	14.9 	14.9 	14.8 	14.6 	14.7 	14.3 	14.7 
PC_GDP,D2REC,S1311,EA19	8.5 	8.9 	8.8 	8.9 	9.0 	9.1 	9.0 	9.0 	9.0 	9.0 	8.7 	8.4 
PC_GDP,D2REC,S1311,EE	14.0 	13.1 	12.8 	13.2 	12.9 	13.3 	13.8 	14.2 	13.8 	13.5 	13.8 	13.2 
PC_GDP,D2REC,S1311,EL	10.7 	12.2 	13.2 	13.5 	13.9 	15.3 	15.7 	16.9 	16.9 	17.0 	16.9 	16.0 
PC_GDP,D2REC,S1311,ES	5.0 	6.7 	6.6 	7.0 	7.7 	8.0 	8.2 	8.1 	8.1 	8.1 	8.0 	7.9 
PC_GDP,D2REC,S1311,EU27_2020	9.3 	9.7 	9.6 	9.8 	9.9 	9.9 	9.9 	9.9 	9.9 	9.9 	9.6 	9.4 
PC_GDP,D2REC,S1311,FI	12.9 	12.9 	13.7 	14.0 	14.3 	14.3 	14.0 	14.3 	13.9 	14.1 	14.0 	13.8 
PC_GDP,D2REC,S1311,FR	8.3 	9.1 	8.1 	8.1 	8.2 	8.2 	8.4 	8.4 	8.7 	8.8 	7.6 p	7.4 p
PC_GDP,D2REC,S1311,HR	16.0 	16.5 	16.1 	17.0 	17.5 	17.4 	17.9 	18.1 	18.3 	18.7 	19.0 	17.9 
PC_GDP,D2REC,S1311,HU	13.7 	14.9 	14.8 	16.0 	16.2 	16.2 	16.2 	15.6 	15.5 	15.7 	15.7 	16.1 
PC_GDP,D2REC,S1311,IE	10.0 	10.0 	9.6 	9.6 	10.0 	10.2 	8.0 	8.2 	7.7 	7.4 	7.3 	6.4 
PC_GDP,D2REC,S1311,IS	11.0 	11.3 	11.5 	12.2 	11.9 	13.5 	12.9 	12.1 	12.8 	12.4 	11.7 	11.7 
PC_GDP,D2REC,S1311,IT	9.9 	10.4 	10.5 	11.4 	11.2 	11.5 	11.4 	11.5 	11.4 	11.4 	11.5 	11.1 
PC_GDP,D2REC,S1311,LT	11.1 	11.4 	11.2 	10.8 	10.7 	10.8 	11.3 	11.3 	11.3 	11.2 	11.2 	11.4 
PC_GDP,D2REC,S1311,LU	12.4 	12.3 	12.2 	12.8 	12.8 	13.0 	10.9 	10.9 	11.2 	11.4 	11.2 	10.9 
PC_GDP,D2REC,S1311,LV	10.6 	11.5 	11.4 	11.8 	12.2 	12.5 	12.7 	13.2 	13.2 	13.6 	13.4 	13.6 
PC_GDP,D2REC,S1311,MT	13.1 	13.2 	13.3 	12.8 	12.4 	12.7 	11.8 	11.9 	12.0 	12.5 	11.9 	10.7 
PC_GDP,D2REC,S1311,NL	10.4 	10.3 	10.0 	9.8 	10.1 	10.5 	10.2 	10.7 	10.7 	10.9 	11.2 	11.4 p
PC_GDP,D2REC,S1311,NO	11.4 	11.4 	11.0 	10.8 	10.9 	11.1 	11.5 	12.1 	12.0 	11.7 	11.8 	12.6 
PC_GDP,D2REC,S1311,PL	11.7 	12.5 	12.6 	11.8 	11.7 	11.7 	11.7 	12.2 	12.6 	12.9 	12.7 	12.9 
PC_GDP,D2REC,S1311,PT	10.7 	11.4 	11.9 	11.8 	11.6 	11.9 	12.2 	12.5 	12.7 	12.8 	12.7 	12.1 
PC_GDP,D2REC,S1311,RO	9.6 	11.2 	12.4 	12.2 	12.0 	11.9 	12.5 	10.6 	9.5 	9.6 	9.7 	9.6 
PC_GDP,D2REC,S1311,SE	22.4 	22.0 	21.6 	21.9 	21.8 	21.5 	21.5 	22.4 	22.3 	22.3 	22.0 	21.7 
PC_GDP,D2REC,S1311,SI	12.8 	13.3 	13.2 	13.6 	14.1 	14.1 	14.0 	13.8 	13.5 	13.3 	13.0 	12.2 
PC_GDP,D2REC,S1311,SK	10.0 	9.8 	10.6 	10.0 	10.6 	10.8 	11.1 	11.0 	11.4 	11.3 	11.5 	11.7 
