unit,na_item,sector,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
PC_GDP,TE,S13,PL	45.0 	45.8 	44.1 	43.1 	43.0 	42.6 	41.7 	41.1 	41.3 	41.5 	41.8 	48.7 
PC_GDP,TE,S13,PT	50.2 	51.9 	50.0 	48.9 	49.9 	51.7 	48.2 	44.8 	45.4 	43.2 	42.5 	48.4 
PC_GDP,TE,S13,RO	39.4 	40.0 	39.6 	37.5 	35.4 	35.3 	36.1 	34.6 	33.5 	34.9 	36.2 	42.4 
PC_GDP,TE,S13,SE	52.3 	50.4 	49.7 	50.9 	51.6 	50.7 	49.3 	49.7 	49.2 	49.8 	49.3 	52.9 
PC_GDP,TE,S13,SI	49.4 	50.2 	50.9 	49.4 	60.3 	50.8 	48.7 	46.2 	44.1 	43.5 	43.3 	52.0 
PC_GDP,TE,S13,SK	44.4 	42.5 	41.6 	41.1 	42.5 	43.3 	45.8 	42.7 	41.3 	41.7 	42.7 	48.0 
PC_GDP,TE,S1311,AT	36.7 	35.1 	34.3 	34.5 	34.8 	35.5 	34.2 	33.1 	32.3 	31.6 	31.1 	38.5 
PC_GDP,TE,S1311,BE	29.4 	29.5 	30.8 	31.5 	31.0 	30.9 	27.6 	27.4 	26.7 	26.5 	26.6 	31.4 
PC_GDP,TE,S1311,BG	29.1 	26.7 	25.1 	25.4 	27.1 	31.0 	28.0 	24.7 	24.1 	23.7 	24.8 	30.8 
PC_GDP,TE,S1311,CH	10.3 	10.1 	10.5 	10.3 	10.3 	10.2 	10.5 	10.5 	10.5 	10.2 	10.2 	: 
PC_GDP,TE,S1311,CY	35.8 	35.1 	35.2 	34.4 	34.0 	39.9 	31.3 	28.6 	28.3 	35.5 	31.2 	36.1 
PC_GDP,TE,S1311,CZ	32.1 	31.6 	31.3 	32.9 	30.9 	30.7 	30.5 	29.3 	28.4 	29.1 	29.9 	35.4 
PC_GDP,TE,S1311,DE	15.0 	16.4 	14.4 	14.0 	13.3 	12.7 	12.6 	12.5 	12.7 	12.6 	12.6 	15.3 p
PC_GDP,TE,S1311,DK	41.6 	42.3 	42.5 	43.9 	41.8 	41.5 	40.9 	39.0 	37.2 	37.1 	35.8 	40.3 
PC_GDP,TE,S1311,EA19	25.0 	25.5 	23.9 	24.4 	23.9 	23.3 	22.8 	22.4 	22.1 	21.7 	21.5 	26.3 
PC_GDP,TE,S1311,EE	37.9 	34.0 	31.7 	33.2 	32.1 	32.2 	34.1 	33.8 	33.5 	34.1 	33.5 	38.5 
PC_GDP,TE,S1311,EL	42.1 	40.1 	42.0 	43.3 	52.5 	39.1 	41.5 	38.4 	36.8 	37.0 	34.9 	46.6 
PC_GDP,TE,S1311,ES	22.6 	20.8 	20.4 	26.1 	22.8 	21.9 	20.7 	19.8 	18.8 	19.0 	18.7 	25.7 
PC_GDP,TE,S1311,EU27_2020	25.9 	26.4 	24.9 	25.4 	24.8 	24.3 	23.8 	23.4 	23.0 	22.7 	22.5 	27.4 
PC_GDP,TE,S1311,FI	27.7 	28.2 	27.4 	28.0 	28.4 	28.4 	27.6 	27.3 	26.3 	25.9 	25.6 	29.1 
PC_GDP,TE,S1311,FR	24.3 	25.6 	23.6 	23.6 	23.3 	23.2 	23.1 	23.4 	23.4 	22.6 	22.4 p	25.7 p
PC_GDP,TE,S1311,HR	32.0 	31.9 	32.3 	31.9 	33.2 	32.5 	31.3 	30.3 	28.9 	29.1 	29.5 	35.9 
PC_GDP,TE,S1311,HU	33.9 	32.9 	33.5 	33.8 	37.8 	36.8 	35.3 	32.9 	33.8 	33.2 	32.7 	39.0 
PC_GDP,TE,S1311,IE	44.6 	63.0 	45.6 	40.8 	38.9 	36.3 	28.1 	27.0 	25.0 	24.4 	23.4 	27.4 
PC_GDP,TE,S1311,IS	41.8 	38.3 	40.2 	36.8 	35.2 	34.4 	32.6 	36.0 	31.9 	32.2 	31.8 	37.1 
PC_GDP,TE,S1311,IT	31.3 	30.4 	29.5 	30.8 	30.8 	30.9 	30.8 	30.8 	30.5 	29.8 	29.4 	37.5 
PC_GDP,TE,S1311,LT	28.7 	28.2 	29.5 	23.7 	23.8 	22.9 	24.1 	22.9 	21.8 	30.1 	25.7 	33.5 
PC_GDP,TE,S1311,LU	32.4 	32.2 	30.9 	32.3 	31.6 	30.5 	30.3 	29.7 	30.3 	30.4 	30.5 	34.7 
PC_GDP,TE,S1311,LV	25.4 	27.1 	23.7 	22.3 	21.6 	23.4 	23.5 	21.8 	22.5 	23.3 	23.2 	27.2 
PC_GDP,TE,S1311,MT	41.0 	39.7 	40.6 	41.4 	40.2 	39.8 	38.1 	35.8 	34.7 	36.2 	36.7 	46.5 
PC_GDP,TE,S1311,NL	28.8 	29.6 	27.6 	27.5 	26.5 	26.4 	26.9 	26.4 	25.3 	25.4 	25.9 	31.5 p
PC_GDP,TE,S1311,NO	37.1 	36.1 	35.5 	35.0 	35.8 	37.5 	40.1 	41.7 	41.0 	39.3 	41.1 	47.8 
PC_GDP,TE,S1311,PL	26.1 	27.5 	25.9 	24.9 	24.2 	22.9 	22.9 	23.3 	25.1 	22.6 	23.0 	30.2 
PC_GDP,TE,S1311,PT	37.4 	39.2 	37.3 	36.5 	37.3 	39.6 	36.6 	33.7 	34.2 	31.7 	31.1 	35.9 
PC_GDP,TE,S1311,RO	28.5 	29.5 	27.5 	25.9 	25.0 	25.3 	26.6 	25.1 	23.7 	23.8 	24.7 	30.1 
PC_GDP,TE,S1311,SE	31.7 	31.4 	30.6 	30.9 	31.2 	30.8 	29.9 	29.6 	29.3 	29.5 	29.2 	33.3 
PC_GDP,TE,S1311,SI	30.5 	30.7 	32.4 	30.2 	41.5 	32.7 	31.2 	28.4 	26.5 	25.6 	25.5 	33.2 
PC_GDP,TE,S1311,SK	29.3 	28.0 	27.9 	27.4 	27.2 	27.8 	30.1 	27.0 	25.4 	25.7 	26.4 	31.6 
PC_GDP,TE,S1312,AT	9.6 	9.6 	9.2 	9.2 	9.3 	9.3 	9.1 	9.5 	9.2 	9.0 	9.1 	9.9 
PC_GDP,TE,S1312,BE	16.0 	15.8 	16.2 	16.2 	16.6 	16.4 	19.5 	19.5 	19.4 	19.9 	19.6 	22.1 
PC_GDP,TE,S1312,BG	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,CH	12.5 	12.4 	12.5 	12.9 	13.5 	13.1 	13.2 	13.1 	13.0 	12.9 	13.0 	: 
PC_GDP,TE,S1312,CY	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,CZ	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,DE	13.8 	13.5 	13.3 	13.2 	13.2 	13.2 	13.2 	13.5 	13.2 	13.5 	13.4 	15.8 p
PC_GDP,TE,S1312,DK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,EA19	6.6 	6.5 	6.6 	6.6 	6.4 	6.4 	6.5 	6.6 	6.5 	6.6 	6.6 	7.7 
PC_GDP,TE,S1312,EE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,EL	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,ES	17.7 	17.6 	18.2 	18.7 	16.2 	16.0 	15.9 	15.2 	15.0 	15.2 	15.5 	18.4 
PC_GDP,TE,S1312,EU27_2020	5.8 	5.7 	5.7 	5.7 	5.5 	5.5 	5.6 	5.7 	5.5 	5.6 	5.6 	6.5 
PC_GDP,TE,S1312,FI	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,FR	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,HR	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,HU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,IE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,IS	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,IT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,LT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,LU	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,LV	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,MT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,NL	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,NO	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,PL	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,PT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,RO	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,SE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,SI	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1312,SK	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1313,AT	8.7 	8.6 	8.2 	8.3 	8.5 	8.5 	8.5 	8.4 	8.4 	8.4 	8.4 	9.1 
PC_GDP,TE,S1313,BE	7.4 	7.2 	7.4 	7.6 	7.5 	7.3 	7.0 	6.9 	6.9 	7.1 	6.9 	7.4 
PC_GDP,TE,S1313,BG	8.2 	7.2 	6.6 	6.6 	7.9 	8.9 	10.4 	6.9 	7.1 	7.3 	7.4 	8.2 
PC_GDP,TE,S1313,CH	7.1 	7.0 	6.9 	7.0 	7.1 	7.2 	7.1 	7.1 	7.3 	7.0 	7.1 	: 
PC_GDP,TE,S1313,CY	1.9 	2.0 	2.1 	1.8 	1.5 	1.6 	1.6 	1.4 	1.4 	1.5 	1.6 	1.6 
PC_GDP,TE,S1313,CZ	13.0 	12.7 	12.3 	11.4 	11.4 	11.6 	11.4 	10.3 	10.7 	11.7 	11.8 	13.0 
PC_GDP,TE,S1313,DE	8.0 	7.9 	7.7 	7.7 	7.9 	7.9 	7.9 	8.0 	7.9 	8.1 	8.2 	8.8 p
PC_GDP,TE,S1313,DK	35.8 	35.8 	35.6 	35.9 	35.5 	35.3 	34.8 	34.1 	33.5 	33.1 	32.6 	34.5 
PC_GDP,TE,S1313,EA19	10.8 	10.6 	10.2 	10.2 	10.2 	10.1 	9.9 	9.7 	9.6 	9.6 	9.7 	10.4 
PC_GDP,TE,S1313,EE	11.2 	9.7 	9.2 	9.6 	9.9 	9.1 	9.2 	9.0 	9.5 	9.5 	9.9 	10.5 
PC_GDP,TE,S1313,EL	4.1 	3.9 	3.2 	3.4 	3.6 	3.4 	3.4 	3.5 	3.5 	3.7 	3.4 	3.9 
PC_GDP,TE,S1313,ES	7.1 	7.1 	6.9 	6.0 	6.0 	6.1 	6.1 	5.8 	5.9 	5.8 	6.0 	6.3 
PC_GDP,TE,S1313,EU27_2020	11.9 	11.7 	11.4 	11.4 	11.4 	11.3 	11.1 	10.9 	10.8 	10.8 	10.9 	11.7 
PC_GDP,TE,S1313,FI	21.8 	21.8 	22.0 	22.8 	23.2 	23.2 	23.0 b	22.4 	21.7 	21.8 	22.0 	22.7 
PC_GDP,TE,S1313,FR	12.0 	11.5 	11.5 	11.7 	11.9 	11.8 	11.4 	11.1 	11.1 	11.0 	11.2 p	11.8 p
PC_GDP,TE,S1313,HR	12.7 	12.0 	11.7 	12.3 	12.3 	12.9 	12.3 	11.9 	11.7 	12.4 	12.9 	14.5 
PC_GDP,TE,S1313,HU	11.9 	12.4 	11.3 	9.2 	7.5 	7.8 	7.8 	6.0 	6.2 	6.4 	6.8 	6.5 
PC_GDP,TE,S1313,IE	5.8 	5.1 	4.5 	4.0 	3.3 	2.5 	2.1 	2.1 	2.1 	2.2 	2.4 	2.5 
PC_GDP,TE,S1313,IS	12.7 	12.4 	12.5 	12.7 	12.9 	13.1 	12.6 	12.4 	14.0 	13.5 	13.2 	14.4 
PC_GDP,TE,S1313,IT	16.5 	15.8 	15.0 	15.0 	15.0 	14.7 	14.6 	14.3 	13.9 	13.9 	13.9 	15.5 
PC_GDP,TE,S1313,LT	10.7 	11.2 	10.0 	9.4 	8.3 	7.9 	7.9 	7.8 	7.7 	8.1 	8.5 	9.9 
PC_GDP,TE,S1313,LU	5.5 	5.1 	4.9 	4.8 	4.8 	4.7 	4.5 	4.7 	4.7 	4.8 	4.8 	5.2 
PC_GDP,TE,S1313,LV	13.5 	12.8 	11.5 	10.7 	10.8 	10.7 	10.0 	10.1 	11.0 	11.3 	10.9 	11.3 
PC_GDP,TE,S1313,MT	0.6 	0.6 	0.7 	0.7 	0.7 	0.6 	0.5 	0.4 	0.4 	0.5 	0.5 	0.6 
PC_GDP,TE,S1313,NL	15.9 	15.7 	15.0 	14.6 	13.8 	13.5 	14.0 	13.6 	13.2 	13.1 	13.0 	14.0 p
PC_GDP,TE,S1313,NO	15.3 	15.2 	14.9 	14.8 	15.3 	15.7 	16.4 	17.2 	17.0 	16.6 	17.6 	18.6 
PC_GDP,TE,S1313,PL	14.3 	15.0 	14.2 	13.5 	13.3 	13.6 	12.9 	12.9 	13.4 	14.3 	14.3 	14.9 
PC_GDP,TE,S1313,PT	7.4 	7.4 	6.8 	6.2 	6.6 	6.0 	5.9 	5.7 	5.8 	5.8 	5.7 	6.5 
PC_GDP,TE,S1313,RO	9.5 	9.6 	10.4 	9.7 	9.2 	9.1 	9.9 	9.1 	8.8 	8.1 	8.4 	9.5 
PC_GDP,TE,S1313,SE	24.5 	23.5 	23.7 	24.4 	24.7 	24.6 	24.3 	25.0 	24.9 	25.3 	25.1 	25.8 
PC_GDP,TE,S1313,SI	9.8 	9.8 	9.3 	9.5 	9.6 	9.8 	8.9 	8.2 	8.2 	8.5 	8.4 	9.1 
PC_GDP,TE,S1313,SK	7.1 	7.4 	6.9 	6.4 	6.5 	6.7 	7.4 	6.6 	7.0 	7.1 	7.6 	7.9 
PC_GDP,TE,S1314,AT	16.7 	16.7 	16.4 	16.8 	17.1 	17.2 	17.1 	17.0 	16.9 	16.8 	17.0 	18.7 
PC_GDP,TE,S1314,BE	21.2 	21.1 	21.3 	21.8 	22.2 	22.1 	18.5 	21.2 	21.1 	21.1 	21.0 	25.2 
PC_GDP,TE,S1314,BG	13.2 	13.7 	13.1 	13.5 	14.7 	15.0 	14.6 	14.3 	14.1 	13.9 	13.4 	16.4 
PC_GDP,TE,S1314,CH	9.0 	8.8 	8.6 	8.7 	8.9 	8.9 	9.0 	9.0 	9.0 	8.7 	8.8 	: 
PC_GDP,TE,S1314,CY	6.2 	6.5 	6.9 	7.7 	8.7 	9.0 	8.5 	8.3 	7.9 	7.6 	8.6 	11.8 
PC_GDP,TE,S1314,CZ	5.6 	5.6 	5.6 	5.7 	5.5 	5.6 	5.4 	5.5 	5.4 	5.5 	5.6 	6.4 
PC_GDP,TE,S1314,DE	20.7 	20.0 	19.1 	19.0 	19.0 	19.0 	19.1 	19.1 	19.2 	19.2 	19.8 	22.5 p
PC_GDP,TE,S1314,DK	3.2 	3.5 	3.3 	4.7 	2.9 	2.7 	2.5 	2.2 	2.1 	2.1 	1.8 	2.1 
PC_GDP,TE,S1314,EA19	19.5 	19.5 	19.3 	19.7 	19.9 	19.8 	19.3 	19.3 	19.1 	19.0 	19.2 	22.3 
PC_GDP,TE,S1314,EE	6.9 	5.7 	5.0 	5.0 	5.1 	5.1 	5.4 	5.6 	5.8 	6.6 	7.1 	9.7 
PC_GDP,TE,S1314,EL	18.5 	19.2 	21.1 	20.4 	18.3 	17.9 	18.7 	18.7 	21.4 	21.0 	22.6 	25.7 
PC_GDP,TE,S1314,ES	14.1 	14.7 	14.9 	15.5 	15.8 	15.5 	14.8 	14.5 	14.2 	14.3 	14.7 	19.6 
PC_GDP,TE,S1314,EU27_2020	18.4 	18.3 	18.0 	18.4 	18.6 	18.5 	18.0 	17.9 	17.8 	17.7 	17.8 	20.6 
PC_GDP,TE,S1314,FI	17.6 	17.6 	17.6 	18.4 	19.3 	19.9 	20.2 	19.9 	19.5 	19.2 	18.9 	20.2 
PC_GDP,TE,S1314,FR	25.7 	25.9 	25.9 	26.4 	26.6 	26.7 	26.3 	26.2 	26.0 	25.8 	25.5 p	28.9 p
PC_GDP,TE,S1314,HR	17.1 	16.8 	16.6 	17.9 	18.9 	18.8 	18.8 	18.2 	17.7 	17.6 	17.8 	21.8 
PC_GDP,TE,S1314,HU	16.1 	15.9 	16.3 	16.1 	16.5 	15.7 	14.8 	14.8 	14.2 	13.5 	12.9 	13.8 
PC_GDP,TE,S1314,IE	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1314,IS	8.9 	8.4 	8.7 	8.5 	8.2 	8.1 	7.7 	7.7 	8.4 	8.6 	9.4 	12.2 
PC_GDP,TE,S1314,IT	19.0 	19.0 	18.9 	19.6 	20.2 	20.0 	19.9 	19.5 	19.3 	19.3 	19.8 	23.6 
PC_GDP,TE,S1314,LT	16.9 	15.1 	13.4 	12.8 	12.3 	12.8 	12.2 	12.3 	12.1 	12.4 	12.6 	14.8 
PC_GDP,TE,S1314,LU	19.2 	18.5 	17.8 	18.4 	18.5 	18.1 	17.9 	17.0 	17.7 	17.7 	17.5 	19.3 
PC_GDP,TE,S1314,LV	11.6 	11.6 	9.7 	9.1 	9.2 	9.1 	9.1 	9.1 	9.0 	8.8 	9.3 	10.3 
PC_GDP,TE,S1314,MT	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1314,NL	16.7 	17.2 	17.3 	18.0 	18.3 	18.4 	17.1 	16.5 	16.2 	16.0 	16.0 	18.9 p
PC_GDP,TE,S1314,NO	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z	: z
PC_GDP,TE,S1314,PL	17.3 	17.2 	16.2 	16.3 	16.8 	16.7 	16.6 	16.6 	16.2 	16.1 	16.3 	18.1 
PC_GDP,TE,S1314,PT	12.3 	12.4 	12.5 	13.5 	13.8 	13.3 	12.8 	12.5 	12.1 	12.0 	12.1 	14.4 
PC_GDP,TE,S1314,RO	11.5 	12.2 	12.4 	11.9 	11.4 	11.2 	11.1 	10.3 	10.4 	10.6 	10.9 	12.9 
PC_GDP,TE,S1314,SE	6.6 	6.3 	6.0 	6.4 	6.8 	6.5 	6.3 	6.5 	6.5 	6.4 	6.4 	6.7 
PC_GDP,TE,S1314,SI	19.5 	19.8 	19.9 	20.1 	19.8 	19.4 	19.1 	18.8 	18.1 	17.9 	17.9 	19.8 
PC_GDP,TE,S1314,SK	14.3 	14.0 	13.5 	13.8 	14.2 	14.5 	14.2 	14.6 	14.4 	14.7 	14.6 	16.3 
