unit,na_item,sector,geo\time	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
PC_GDP,TE,S13,AT	54.1 	52.8 	50.9 	51.2 	51.6 	52.4 	51.1 	50.1 	49.3 	48.7 	48.6 	57.9 
PC_GDP,TE,S13,BE	54.7 	53.9 	55.3 	56.5 	56.1 	55.6 	53.7 	53.1 	52.0 	52.2 	52.1 	60.0 
PC_GDP,TE,S13,BG	39.3 	36.3 	33.9 	34.4 	37.9 	43.3 	40.6 	34.9 	34.9 	36.6 	36.3 	42.9 
PC_GDP,TE,S13,CH	32.5 	32.1 	32.1 	32.4 	33.3 	32.9 	33.2 	33.3 	33.3 	32.5 	32.7 	: 
PC_GDP,TE,S13,CY	42.1 	41.8 	42.2 	42.2 	43.0 	49.4 	40.6 	37.5 	36.8 	43.1 	39.7 	46.3 
PC_GDP,TE,S13,CZ	44.4 	43.6 	43.2 	44.7 	42.7 	42.6 	41.9 	39.8 	39.0 	40.6 	41.4 	47.5 
PC_GDP,TE,S13,DE	48.2 	48.1 	45.2 	44.9 	44.9 	44.3 	44.1 	44.4 	44.2 	44.5 	45.2 	51.1 p
PC_GDP,TE,S13,DK	56.5 	56.7 	56.4 	58.0 	55.8 	55.2 	54.5 	52.5 	50.5 	50.5 	49.2 	53.9 
PC_GDP,TE,S13,EA19	50.9 	50.9 	49.4 	50.0 	49.9 	49.3 	48.4 	47.7 	47.1 	46.9 	47.0 	54.1 
PC_GDP,TE,S13,EE	45.6 	39.9 	37.1 	39.0 	38.2 	37.5 	39.2 	39.1 	39.2 	39.3 	38.9 	45.1 
PC_GDP,TE,S13,EL	54.1 	53.0 	55.1 	56.7 	62.9 	50.7 	54.1 	50.0 	48.5 	48.5 	47.9 	60.7 
PC_GDP,TE,S13,ES	46.2 	46.0 	46.2 	48.7 	45.8 	45.1 	43.9 	42.4 	41.2 	41.7 	42.1 	52.3 
PC_GDP,TE,S13,EU27_2020	50.6 	50.5 	49.2 	49.7 	49.6 	49.0 	48.1 	47.3 	46.7 	46.6 	46.6 	53.4 
PC_GDP,TE,S13,FI	54.1 	53.9 	53.7 	55.4 	56.8 	57.3 	56.5 b	55.6 	53.6 	53.4 	53.2 	56.7 
PC_GDP,TE,S13,FR	57.2 	56.9 	56.3 	57.1 	57.2 	57.2 	56.8 	56.7 	56.5 	55.6 	55.4 p	62.1 p
PC_GDP,TE,S13,HR	49.3 	48.9 	49.4 	48.8 	48.8 	49.2 	48.8 	47.5 	45.3 	46.1 	47.2 	55.4 
PC_GDP,TE,S13,HU	50.7 	48.9 	49.1 	49.2 	50.2 	50.1 	50.4 	46.8 	46.5 	45.9 	45.7 	51.6 
PC_GDP,TE,S13,IE	46.8 	64.8 	47.5 	42.6 	40.5 	37.5 	29.0 	28.0 	26.0 	25.4 	24.5 	28.2 
PC_GDP,TE,S13,IS	53.7 	48.9 	50.7 	47.9 	46.1 	45.9 	43.6 	46.5 	44.5 	44.0 	43.4 	49.7 
PC_GDP,TE,S13,IT	51.1 	49.9 	49.2 	50.6 	51.0 	50.9 	50.3 	49.1 	48.8 	48.4 	48.6 	57.3 
PC_GDP,TE,S13,LT	45.0 	42.4 	42.5 	36.1 	35.5 	34.7 	35.1 	34.2 	33.2 	33.8 	34.6 	43.5 
PC_GDP,TE,S13,LU	45.1 	44.3 	42.6 	44.1 	43.5 	42.2 	42.0 	41.0 	42.3 	42.3 	42.3 	47.8 
PC_GDP,TE,S13,LV	45.2 	46.0 	40.9 	38.6 	38.2 	38.9 	38.7 	37.4 	38.7 	39.4 	38.4 	43.6 
PC_GDP,TE,S13,MT	41.1 	39.8 	40.8 	41.7 	40.5 	40.0 	38.3 	35.9 	34.8 	36.4 	36.8 	46.6 
PC_GDP,TE,S13,NL	47.7 	47.9 	46.8 	46.9 	46.6 	45.9 	44.7 	43.6 	42.4 	42.2 	42.2 	48.1 p
PC_GDP,TE,S13,NO	46.5 	45.4 	44.2 	43.3 	44.4 	46.3 	49.3 	51.5 	50.5 	48.8 	51.5 	58.1 
